filename,class_md,score,x_norm,y_norm,w_norm,h_norm
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-09__04-59-51(1).JPG,person,0.939,0.4656,0.4625,0.1723,0.468
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-09__04-59-51(1).JPG,person,0.96,0.1177,0.2951,0.3213,0.6361
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-09__04-59-52(2).JPG,person,0.898,0.4822,0.4062,0.1791,0.5236
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-09__04-59-52(2).JPG,person,0.951,0.3161,0.2631,0.2427,0.6666
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-09__04-59-53(3).JPG,person,0.964,0.5406,0.359,0.2333,0.5722
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-09__04-59-53(3).JPG,person,0.967,0.3432,0.318,0.213,0.6118
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-09__05-09-11(1).JPG,empty,,,,,
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-09__05-09-12(2).JPG,empty,,,,,
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-09__05-09-13(3).JPG,empty,,,,,
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-09__12-47-49(1).JPG,empty,,,,,
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-09__12-47-50(2).JPG,empty,,,,,
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-09__12-47-51(3).JPG,empty,,,,,
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-10__14-32-05(1).JPG,empty,,,,,
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-10__14-32-06(2).JPG,empty,,,,,
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-10__14-32-06(3).JPG,empty,,,,,
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-11__07-07-12(1).JPG,empty,,,,,
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-11__07-07-13(2).JPG,empty,,,,,
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-11__07-07-14(3).JPG,empty,,,,,
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-13__16-43-13(1).JPG,empty,,,,,
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-13__16-43-13(2).JPG,animal,0.00778,0.9515,0.6055,0.04843,0.1534
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-13__16-43-14(3).JPG,empty,,,,,
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-14__06-06-07(1).JPG,empty,,,,,
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-14__06-06-08(2).JPG,empty,,,,,
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-14__06-06-09(3).JPG,empty,,,,,
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-16__07-11-03(1).JPG,animal,0.00668,0.2151,0.7062,0.08541,0.1354
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-16__07-11-04(2).JPG,empty,,,,,
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-16__07-11-05(3).JPG,empty,,,,,
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-16__20-39-08(1).JPG,empty,,,,,
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-16__20-39-09(2).JPG,animal,0.0108,0.975,0.7909,0.025,0.1048
C8-A-2021-10-29/C8-A-2021-10-29__2020-06-16__20-39-10(3).JPG,animal,0.94,0.8489,0.7833,0.151,0.1479
