filename,class_md,score,x_norm,y_norm,w_norm,h_norm
E8-B-2021-12-04/E8-B-2021-12-04__2020-06-25__13-37-09(1).JPG,person,0.976,0.5364,0.4715,0.1427,0.4597
E8-B-2021-12-04/E8-B-2021-12-04__2020-06-25__13-37-10(2).JPG,person,0.972,0.5145,0.443,0.1552,0.4881
E8-B-2021-12-04/E8-B-2021-12-04__2020-06-25__13-37-11(3).JPG,person,0.977,0.4963,0.4347,0.1802,0.4965
E8-B-2021-12-04/E8-B-2021-12-04__2020-06-25__13-37-20(4).JPG,person,0.967,0.5755,0.4763,0.1416,0.4548
E8-B-2021-12-04/E8-B-2021-12-04__2020-06-25__13-37-21(5).JPG,person,0.0115,0.0,0.002777,0.2265,0.759
E8-B-2021-12-04/E8-B-2021-12-04__2020-06-25__13-37-21(5).JPG,person,0.879,0.0,0.3895,0.1781,0.3534
E8-B-2021-12-04/E8-B-2021-12-04__2020-06-25__13-37-21(5).JPG,person,0.925,0.6098,0.4993,0.1447,0.3958
E8-B-2021-12-04/E8-B-2021-12-04__2020-06-25__13-37-22(6).JPG,person,0.947,0.5776,0.5166,0.1333,0.4013
E8-B-2021-12-04/E8-B-2021-12-04__2020-06-25__13-45-10(1).JPG,person,0.714,0.0,0.0,1.0,0.9319
E8-B-2021-12-04/E8-B-2021-12-04__2020-06-25__13-45-11(2).JPG,person,0.0186,0.001562,0.05069,0.914,0.5472
E8-B-2021-12-04/E8-B-2021-12-04__2020-06-25__13-45-11(2).JPG,animal,0.589,0.0,0.05972,1.0,0.6159
E8-B-2021-12-04/E8-B-2021-12-04__2020-06-25__13-45-12(3).JPG,animal,0.00813,0.9406,0.4229,0.05937,0.2381
E8-B-2021-12-04/E8-B-2021-12-04__2020-06-25__13-45-12(3).JPG,animal,0.0115,0.952,0.4215,0.04791,0.1277
E8-B-2021-12-04/E8-B-2021-12-04__2020-06-25__13-45-12(3).JPG,animal,0.0601,0.8151,0.4208,0.1843,0.2548
E8-B-2021-12-04/E8-B-2021-12-04__2020-06-27__22-45-14(1).JPG,empty,,,,,
E8-B-2021-12-04/E8-B-2021-12-04__2020-06-27__22-45-15(2).JPG,empty,,,,,
E8-B-2021-12-04/E8-B-2021-12-04__2020-06-27__22-45-16(3).JPG,empty,,,,,
E8-B-2021-12-04/E8-B-2021-12-04__2020-07-02__13-22-11(1).JPG,empty,,,,,
E8-B-2021-12-04/E8-B-2021-12-04__2020-07-02__13-22-12(2).JPG,empty,,,,,
E8-B-2021-12-04/E8-B-2021-12-04__2020-07-02__13-22-13(3).JPG,empty,,,,,
E8-B-2021-12-04/E8-B-2021-12-04__2020-07-02__13-23-27(1).JPG,empty,,,,,
E8-B-2021-12-04/E8-B-2021-12-04__2020-07-02__13-23-28(2).JPG,empty,,,,,
E8-B-2021-12-04/E8-B-2021-12-04__2020-07-02__13-23-29(3).JPG,empty,,,,,
E8-B-2021-12-04/E8-B-2021-12-04__2020-07-03__07-34-06(1).JPG,empty,,,,,
E8-B-2021-12-04/E8-B-2021-12-04__2020-07-03__07-34-07(2).JPG,empty,,,,,
