filename,class_md,score,x_norm,y_norm,w_norm,h_norm
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-03-44(1).JPG,person,0.906,0.5328,0.1847,0.2343,0.5854
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-03-44(1).JPG,person,0.938,0.3953,0.202,0.1161,0.55
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-03-45(2).JPG,person,0.856,0.3973,0.2076,0.1135,0.5458
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-03-45(2).JPG,person,0.952,0.4588,0.2715,0.1927,0.5388
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-03-46(3).JPG,person,0.868,0.3953,0.2097,0.1135,0.5326
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-03-46(3).JPG,person,0.942,0.4432,0.3916,0.2697,0.4187
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-03-55(4).JPG,person,0.876,0.3869,0.1923,0.1046,0.5284
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-03-55(4).JPG,person,0.946,0.4473,0.1986,0.1526,0.5888
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-03-56(5).JPG,person,0.451,0.3942,0.1916,0.1229,0.4
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-03-56(5).JPG,person,0.96,0.3838,0.3097,0.2286,0.6083
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-03-57(6).JPG,person,0.736,0.3958,0.1965,0.1307,0.4354
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-03-57(6).JPG,person,0.949,0.263,0.4784,0.277,0.4354
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-13-08(1).JPG,animal,0.0139,0.3838,0.3958,0.05572,0.1083
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-13-08(1).JPG,animal,0.0192,0.552,0.734,0.1156,0.1118
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-13-08(1).JPG,animal,0.0257,0.5531,0.7381,0.03854,0.09375
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-13-08(1).JPG,animal,0.0386,0.7921,0.7187,0.07552,0.1076
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-13-09(2).JPG,animal,0.00514,0.7307,0.05,0.05208,0.127
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-13-09(2).JPG,animal,0.01,0.6838,0.04791,0.09843,0.1652
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-13-09(2).JPG,animal,0.0131,0.4859,0.5416,0.05312,0.1048
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-13-09(2).JPG,animal,0.0305,0.4125,0.002777,0.06927,0.1381
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-21-19(1).JPG,animal,0.0283,0.8364,0.277,0.0776,0.1034
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-21-19(1).JPG,person,0.0807,0.8369,0.277,0.08072,0.1527
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-21-20(2).JPG,animal,0.00528,0.8473,0.2784,0.06666,0.1187
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-21-21(3).JPG,animal,0.0284,0.8354,0.2958,0.06875,0.1243
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-21-21(3).JPG,person,0.0313,0.8348,0.2958,0.06875,0.125
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-31-46(1).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-31-47(2).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-31-47(3).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-34-51(1).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-34-52(2).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-34-53(3).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-36-14(1).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-36-15(2).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-36-16(3).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-37-09(1).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-37-10(2).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__12-37-11(3).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-08-17(1).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-08-18(2).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-08-19(3).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-09-56(1).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-09-57(2).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-09-58(3).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-37-52(1).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-37-53(2).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-37-54(3).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-41-36(1).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-41-37(2).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-41-38(3).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-49-40(1).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-49-41(2).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-49-42(3).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-54-45(1).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-54-46(2).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-54-47(3).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-55-41(1).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-55-42(2).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-55-42(3).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-56-38(1).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-56-38(2).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-56-39(3).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-57-37(1).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-57-38(2).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-57-39(3).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-58-38(1).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-58-39(2).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-58-40(3).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-59-33(1).JPG,empty,,,,,
G9-A-2021-10-27/G9-A-2021-10-27__2020-07-02__13-59-34(2).JPG,empty,,,,,
