filename,class_md,score,x_norm,y_norm,w_norm,h_norm
O14-B-2022-11-09/O14-B-2022-11-09__2020-07-17__11-35-54(1).JPG,empty,,,,,
O14-B-2022-11-09/O14-B-2022-11-09__2020-07-17__11-35-54(2).JPG,empty,,,,,
O14-B-2022-11-09/O14-B-2022-11-09__2020-07-17__11-35-54(3).JPG,animal,0.00761,0.4932,0.6368,0.0401,0.02083
O14-B-2022-11-09/O14-B-2022-11-09__2020-07-17__11-36-56(1).JPG,animal,0.00759,0.7104,0.5486,0.03906,0.02361
O14-B-2022-11-09/O14-B-2022-11-09__2020-07-17__11-36-56(1).JPG,person,0.611,0.0,0.7,0.0651,0.1638
O14-B-2022-11-09/O14-B-2022-11-09__2020-07-17__11-36-56(2).JPG,empty,,,,,
O14-B-2022-11-09/O14-B-2022-11-09__2020-07-17__11-36-56(3).JPG,empty,,,,,
O14-B-2022-11-09/O14-B-2022-11-09__2020-07-17__11-39-24(1).JPG,person,0.00959,0.9213,0.4486,0.07864,0.3437
O14-B-2022-11-09/O14-B-2022-11-09__2020-07-17__11-39-24(1).JPG,person,0.432,0.8484,0.7159,0.1515,0.2152
O14-B-2022-11-09/O14-B-2022-11-09__2020-07-17__11-39-24(1).JPG,person,0.619,0.8484,0.4499,0.1515,0.4819
O14-B-2022-11-09/O14-B-2022-11-09__2020-07-17__11-39-24(2).JPG,vehicle,0.0102,0.4901,0.5104,0.3078,0.4222
O14-B-2022-11-09/O14-B-2022-11-09__2020-07-17__11-39-24(2).JPG,person,0.949,0.488,0.2819,0.3088,0.6493
O14-B-2022-11-09/O14-B-2022-11-09__2020-07-17__11-39-24(3).JPG,person,0.972,0.2843,0.4256,0.2052,0.5048
O14-B-2022-11-09/O14-B-2022-11-09__2020-07-26__09-17-56(1).JPG,animal,0.0253,0.1312,0.7361,0.03697,0.08124
O14-B-2022-11-09/O14-B-2022-11-09__2020-07-26__09-17-56(2).JPG,animal,0.00657,0.07656,0.7715,0.04583,0.09305
O14-B-2022-11-09/O14-B-2022-11-09__2020-07-26__09-17-56(2).JPG,animal,0.285,0.0776,0.7555,0.08958,0.1083
O14-B-2022-11-09/O14-B-2022-11-09__2020-07-26__09-17-56(3).JPG,animal,0.698,0.0427,0.75,0.08958,0.1145
