filename,class_md,score,x_norm,y_norm,w_norm,h_norm
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__12-15-32(1).JPG,empty,,,,,
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__12-15-32(2).JPG,animal,0.00935,0.06354,0.0006944,0.03177,0.01944
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__12-15-32(2).JPG,animal,0.00939,0.3203,0.1923,0.04062,0.0368
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__12-15-32(3).JPG,empty,,,,,
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__12-17-56(1).JPG,vehicle,0.0402,0.9041,0.2937,0.09583,0.6368
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__12-17-56(1).JPG,person,0.0468,0.0,0.0,0.9911,0.9305
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__12-17-56(1).JPG,person,0.343,0.0,0.0,0.4223,0.9284
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__12-17-56(1).JPG,person,0.767,0.9026,0.193,0.09739,0.7381
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__12-17-56(2).JPG,person,0.00743,0.1083,0.527,0.8854,0.2763
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__12-17-56(2).JPG,animal,0.0121,0.1031,0.527,0.8968,0.4013
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__12-17-56(2).JPG,vehicle,0.0203,0.9104,0.2979,0.08958,0.6229
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__12-17-56(2).JPG,animal,0.0214,0.0,0.1145,0.2177,0.8173
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__12-17-56(2).JPG,person,0.218,0.0,0.1173,0.9994,0.8173
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__12-17-56(2).JPG,animal,0.234,0.0005208,0.1187,0.9958,0.8125
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__12-17-56(2).JPG,person,0.665,0.9072,0.1833,0.0927,0.7479
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__12-17-56(3).JPG,animal,0.0466,0.0005208,0.5777,0.9947,0.3493
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__12-17-56(3).JPG,person,0.0481,0.001562,0.1618,0.9979,0.7673
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__12-17-56(3).JPG,person,0.818,0.9041,0.193,0.09583,0.7388
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__13-40-48(1).JPG,empty,,,,,
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__13-40-48(2).JPG,empty,,,,,
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__13-40-48(3).JPG,empty,,,,,
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__13-47-04(1).JPG,empty,,,,,
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__13-47-04(2).JPG,animal,0.0104,0.5744,0.3708,0.01041,0.025
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__13-47-04(3).JPG,empty,,,,,
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__13-55-24(1).JPG,empty,,,,,
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__13-55-24(2).JPG,animal,0.00553,0.6374,0.1604,0.007812,0.02847
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__13-55-24(2).JPG,animal,0.0278,0.3109,0.1284,0.01875,0.02638
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__13-55-24(3).JPG,empty,,,,,
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__14-23-40(1).JPG,empty,,,,,
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__14-23-40(2).JPG,empty,,,,,
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__14-23-40(3).JPG,empty,,,,,
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__16-40-56(1).JPG,empty,,,,,
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__16-40-56(2).JPG,empty,,,,,
T24-B-2022-10-26/T24-B-2022-10-26__2020-07-16__16-40-56(3).JPG,empty,,,,,
