filename,class_md,score,x_norm,y_norm,w_norm,h_norm
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-21__15-33-08(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-21__15-33-09(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-21__15-33-10(3).JPG,person,0.0486,0.0,0.0,1.0,0.9298
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__09-05-18(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__09-05-19(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__09-05-20(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__09-06-52(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__09-06-53(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__09-06-54(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__09-18-06(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__09-18-07(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__09-18-08(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__09-51-41(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__09-51-42(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__09-51-43(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-07-20(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-07-21(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-07-22(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-11-45(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-11-46(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-11-46(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-25-47(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-25-48(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-25-49(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-27-33(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-27-34(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-27-35(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-28-43(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-28-44(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-28-45(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-38-10(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-38-11(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-38-12(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-39-45(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-39-46(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-39-47(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-41-11(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-41-12(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-41-13(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-42-40(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-42-41(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-42-42(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-43-39(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-43-40(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-43-41(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-44-44(1).JPG,animal,0.00637,0.6619,0.7833,0.1963,0.1395
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-44-45(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-44-46(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-46-09(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-46-10(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-46-11(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-47-16(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-47-17(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-47-18(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-48-32(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-48-33(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-48-34(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-49-50(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-49-51(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-49-52(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-51-22(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-51-23(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-51-24(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-52-24(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-52-25(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-52-26(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-54-02(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-54-03(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-54-04(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-55-45(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-55-46(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-55-47(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-57-34(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-57-35(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__10-57-36(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__11-00-38(1).JPG,animal,0.00674,0.5031,0.0243,0.0802,0.04374
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__11-00-38(1).JPG,animal,0.00954,0.4729,0.03541,0.1104,0.1194
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__11-00-38(1).JPG,animal,0.292,0.5385,0.0368,0.04479,0.03125
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__11-00-39(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__11-00-39(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__11-02-13(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__11-02-14(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__11-02-15(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__11-05-17(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__11-05-18(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__11-05-19(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__11-06-17(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__11-06-18(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__11-06-19(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__11-07-18(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__11-07-18(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__11-07-19(3).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__11-08-15(1).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__11-08-16(2).JPG,empty,,,,,
B10-A-2023-08-27/B10-A-2023-08-27__2020-08-22__11-08-17(3).JPG,empty,,,,,
