filename,class_md,score,x_norm,y_norm,w_norm,h_norm
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-11__15-19-53(1).JPG,person,0.81,0.0,0.0,1.0,0.9312
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-11__15-19-54(2).JPG,person,0.728,0.0,0.0,1.0,0.9305
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-11__15-19-55(3).JPG,person,0.883,0.0,0.0,1.0,0.9319
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-11__15-20-21(1).JPG,person,0.932,0.0,0.0,0.2885,0.875
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-11__15-20-22(2).JPG,empty,,,,,
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-11__15-20-23(3).JPG,empty,,,,,
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-13__03-33-43(1).JPG,animal,0.807,0.3286,0.7784,0.09166,0.06875
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-13__03-33-44(2).JPG,empty,,,,,
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-13__03-33-45(3).JPG,empty,,,,,
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__20-30-54(1).JPG,empty,,,,,
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__20-30-55(2).JPG,empty,,,,,
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__20-30-56(3).JPG,empty,,,,,
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-41-19(1).JPG,animal,0.912,0.4994,0.2916,0.3281,0.3888
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-41-20(2).JPG,animal,0.00561,0.5062,0.4708,0.2489,0.2138
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-41-20(2).JPG,animal,0.897,0.4979,0.3097,0.314,0.3715
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-41-21(3).JPG,animal,0.0126,0.3916,0.4166,0.1515,0.2361
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-41-21(3).JPG,animal,0.794,0.3942,0.4131,0.351,0.2687
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-41-48(4).JPG,animal,0.905,0.05677,0.4291,0.414,0.4784
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-41-49(5).JPG,animal,0.882,0.0005208,0.4451,0.5307,0.4812
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-41-50(6).JPG,animal,0.902,0.02031,0.4666,0.4906,0.4631
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-42-29(1).JPG,animal,0.687,0.0,0.5333,0.09635,0.3305
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-42-30(2).JPG,animal,0.23,0.0,0.6201,0.08697,0.2437
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-42-30(3).JPG,animal,0.0122,0.0,0.5666,0.07604,0.2965
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-43-03(1).JPG,animal,0.69,0.0,0.468,0.1744,0.3194
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-43-04(2).JPG,animal,0.779,0.0,0.4631,0.176,0.3229
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-43-05(3).JPG,animal,0.289,0.0,0.4347,0.1651,0.3465
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-44-10(1).JPG,animal,0.966,0.0,0.4986,0.3552,0.4319
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-44-11(2).JPG,animal,0.937,0.02812,0.5041,0.4177,0.4263
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-44-12(3).JPG,animal,0.801,0.1135,0.5166,0.3927,0.4145
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-54-10(1).JPG,animal,0.888,0.4244,0.4409,0.5208,0.4895
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-54-11(2).JPG,animal,0.865,0.351,0.4548,0.4104,0.4756
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-54-12(3).JPG,animal,0.817,0.3671,0.4756,0.4562,0.4541
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-56-36(1).JPG,empty,,,,,
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-56-37(2).JPG,empty,,,,,
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-14__22-56-38(3).JPG,animal,0.014,0.09739,0.4888,0.04322,0.06458
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-15__01-01-00(1).JPG,animal,0.901,0.1609,0.3506,0.2885,0.3979
CHI-01-2023-07-27/CHI-01-2023-07-27__2019-12-15__01-01-01(2).JPG,animal,0.922,0.1557,0.3486,0.313,0.4076
