filename,class_md,score,x_norm,y_norm,w_norm,h_norm
D10-A-2023-07-26/D10-A-2023-07-26__2021-12-03__12-26-42(1).JPG,animal,0.0332,0.3208,0.1937,0.01093,0.01736
D10-A-2023-07-26/D10-A-2023-07-26__2021-12-03__12-26-43(2).JPG,empty,,,,,
D10-A-2023-07-26/D10-A-2023-07-26__2021-12-03__12-26-44(3).JPG,animal,0.00985,0.6458,0.2194,0.0151,0.01875
D10-A-2023-07-26/D10-A-2023-07-26__2021-12-05__10-11-35(1).JPG,animal,0.96,0.4437,0.3687,0.2645,0.3166
D10-A-2023-07-26/D10-A-2023-07-26__2021-12-05__10-11-36(2).JPG,animal,0.00505,0.2723,0.2555,0.0276,0.02847
D10-A-2023-07-26/D10-A-2023-07-26__2021-12-05__10-11-36(2).JPG,animal,0.973,0.2838,0.309,0.2276,0.3576
D10-A-2023-07-26/D10-A-2023-07-26__2021-12-05__10-11-37(3).JPG,animal,0.00911,0.4604,0.2527,0.02916,0.02152
D10-A-2023-07-26/D10-A-2023-07-26__2021-12-05__10-11-37(3).JPG,animal,0.93,0.1187,0.3208,0.2697,0.284
D10-A-2023-07-26/D10-A-2023-07-26__2021-12-05__18-51-27(1).JPG,empty,,,,,
D10-A-2023-07-26/D10-A-2023-07-26__2021-12-05__18-51-28(2).JPG,empty,,,,,
D10-A-2023-07-26/D10-A-2023-07-26__2021-12-05__18-51-28(3).JPG,empty,,,,,
D10-A-2023-07-26/D10-A-2023-07-26__2021-12-08__06-44-41(1).JPG,animal,0.0336,0.9229,0.6208,0.07708,0.1847
D10-A-2023-07-26/D10-A-2023-07-26__2021-12-08__06-44-41(1).JPG,animal,0.919,0.9239,0.343,0.07604,0.4631
D10-A-2023-07-26/D10-A-2023-07-26__2021-12-08__06-44-42(2).JPG,empty,,,,,
D10-A-2023-07-26/D10-A-2023-07-26__2021-12-08__06-44-43(3).JPG,empty,,,,,
D10-A-2023-07-26/D10-A-2023-07-26__2021-12-11__11-09-03(1).JPG,empty,,,,,
D10-A-2023-07-26/D10-A-2023-07-26__2021-12-11__11-09-04(2).JPG,empty,,,,,
D10-A-2023-07-26/D10-A-2023-07-26__2021-12-11__11-09-05(3).JPG,empty,,,,,
D10-A-2023-07-26/D10-A-2023-07-26__2021-12-11__11-18-16(1).JPG,animal,0.956,0.7213,0.2055,0.2786,0.3173
D10-A-2023-07-26/D10-A-2023-07-26__2021-12-11__11-18-17(2).JPG,animal,0.956,0.3354,0.2402,0.3161,0.2874
