filename,class_md,score,x_norm,y_norm,w_norm,h_norm
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-20-05(1).JPG,empty,,,,,
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-20-06(2).JPG,person,0.98,0.1661,0.4555,0.3796,0.4749
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-20-06(3).JPG,empty,,,,,
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-27-05(1).JPG,empty,,,,,
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-27-06(2).JPG,empty,,,,,
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-27-07(3).JPG,empty,,,,,
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-28-16(1).JPG,empty,,,,,
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-28-17(2).JPG,animal,0.0552,0.4619,0.3534,0.02968,0.04861
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-28-18(3).JPG,animal,0.0189,0.4468,0.3437,0.02656,0.04027
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-49-21(1).JPG,empty,,,,,
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-49-22(2).JPG,empty,,,,,
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-49-23(3).JPG,empty,,,,,
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-54-32(1).JPG,empty,,,,,
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-54-32(2).JPG,animal,0.0505,0.4588,0.3777,0.0151,0.02708
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-54-33(3).JPG,animal,0.0145,0.4484,0.3729,0.02604,0.03125
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-56-48(1).JPG,empty,,,,,
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-56-49(2).JPG,empty,,,,,
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-56-50(3).JPG,empty,,,,,
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-58-09(1).JPG,empty,,,,,
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-58-10(2).JPG,empty,,,,,
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-58-11(3).JPG,empty,,,,,
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-59-49(1).JPG,empty,,,,,
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-59-50(2).JPG,animal,0.00958,0.4479,0.3673,0.02604,0.03819
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__12-59-51(3).JPG,animal,0.00501,0.4697,0.04513,0.02135,0.03125
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__13-27-36(1).JPG,empty,,,,,
H06-C-2023-07-25/H06-C-2023-07-25__2021-10-27__13-27-37(2).JPG,empty,,,,,
