filename,class_md,score,x_norm,y_norm,w_norm,h_norm
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__07-57-24(1).JPG,person,0.876,0.0005208,0.0,0.6484,0.8625
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__07-57-25(2).JPG,person,0.746,0.0,0.0,1.0,0.934
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__07-57-26(3).JPG,person,0.781,0.0,0.0,1.0,0.9326
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-35-47(1).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-35-48(2).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-35-49(3).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-39-09(1).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-39-10(2).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-39-11(3).JPG,person,0.00755,0.8281,0.08055,0.03593,0.1229
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-41-00(1).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-41-00(2).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-41-01(3).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-42-09(1).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-42-10(2).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-42-11(3).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-43-31(1).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-43-32(2).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-43-33(3).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-46-09(1).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-46-09(2).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-46-10(3).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-53-31(1).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-53-32(2).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-53-33(3).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-56-00(1).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-56-01(2).JPG,animal,0.00646,0.3208,0.08194,0.05312,0.04166
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-56-02(3).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-58-11(1).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-58-12(2).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__08-58-13(3).JPG,animal,0.00622,0.5406,0.1944,0.03541,0.02569
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__09-01-19(1).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__09-01-20(2).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__09-01-21(3).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__09-02-26(1).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__09-02-27(2).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__09-02-28(3).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__09-03-46(1).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__09-03-47(2).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__09-03-48(3).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__09-15-52(1).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__09-15-53(2).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__09-15-54(3).JPG,animal,0.0194,0.005729,0.07499,0.126,0.1305
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__09-15-54(3).JPG,animal,0.0596,0.008854,0.0743,0.09687,0.0618
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__09-35-46(1).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__09-35-47(2).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__09-35-48(3).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__09-48-49(1).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__09-48-50(2).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__09-48-51(3).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__10-07-32(1).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__10-07-33(2).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__10-07-34(3).JPG,animal,0.0152,0.002604,0.07708,0.1651,0.1527
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__10-08-37(1).JPG,animal,0.00962,0.01041,0.07916,0.1171,0.07013
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__10-08-37(1).JPG,animal,0.0278,0.008854,0.07986,0.1432,0.1451
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__10-08-38(2).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__10-08-39(3).JPG,animal,0.00905,0.007291,0.07847,0.1411,0.1486
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__10-11-51(1).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__10-11-52(2).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__10-11-52(3).JPG,animal,0.0133,0.00677,0.07569,0.1432,0.1458
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__10-13-37(1).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__10-13-38(2).JPG,animal,0.0233,0.008333,0.07361,0.1432,0.143
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__10-13-39(3).JPG,animal,0.0406,0.00677,0.07708,0.1489,0.1437
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__10-16-36(1).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__10-16-37(2).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__10-16-38(3).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__10-17-36(1).JPG,empty,,,,,
J09-C-2023-08-24/J09-C-2023-08-24__2021-10-26__10-17-37(2).JPG,empty,,,,,
