filename,class_md,score,x_norm,y_norm,w_norm,h_norm
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__12-35-54(1).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__12-35-54(2).JPG,person,0.939,0.0,0.001543,1.0,0.9467
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__12-35-54(3).JPG,person,0.933,0.0,0.0007716,1.0,0.9475
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__12-39-04(1).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__12-39-04(2).JPG,animal,0.00539,0.4691,0.4452,0.01302,0.03163
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__12-39-04(2).JPG,animal,0.00655,0.1158,0.1103,0.1289,0.4243
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__12-39-04(3).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__12-41-11(1).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__12-41-11(2).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__12-41-11(3).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__12-43-37(1).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__12-43-37(2).JPG,animal,0.0102,0.1723,0.3873,0.01953,0.06095
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__12-43-37(3).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__12-53-13(1).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__12-53-13(2).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__12-53-13(3).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__12-58-54(1).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__12-58-54(2).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__12-58-54(3).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-03-51(1).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-03-51(2).JPG,animal,0.00539,0.2317,0.5246,0.02864,0.03317
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-03-51(3).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-05-04(1).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-05-04(2).JPG,animal,0.0065,0.2296,0.5339,0.02821,0.03395
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-05-05(3).JPG,animal,0.0902,0.2174,0.5362,0.03949,0.1126
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-06-34(1).JPG,animal,0.00702,0.2291,0.5324,0.02604,0.02854
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-06-34(1).JPG,animal,0.00738,0.2855,0.5362,0.05251,0.05246
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-06-34(2).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-06-34(3).JPG,animal,0.00729,0.23,0.5239,0.02907,0.03009
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-07-52(1).JPG,animal,0.00637,0.04123,0.4174,0.02821,0.1026
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-07-52(2).JPG,animal,0.00859,0.2296,0.5293,0.02604,0.03626
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-07-52(3).JPG,animal,0.00931,0.1853,0.5285,0.07074,0.1026
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-07-52(3).JPG,animal,0.0142,0.0421,0.4182,0.07769,0.145
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-09-10(1).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-09-10(2).JPG,animal,0.00621,0.2317,0.5262,0.02734,0.0324
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-09-10(3).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-13-27(1).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-13-27(2).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-13-27(3).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-14-34(1).JPG,animal,0.0738,0.04687,0.4236,0.08029,0.135
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-14-34(2).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-14-34(3).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-15-44(1).JPG,empty,,,,,
K26-A-2023-08-10/K26-A-2023-08-10__2022-11-14__13-15-44(2).JPG,animal,0.0113,0.2317,0.5324,0.02604,0.03086
