filename,class_md,score,x_norm,y_norm,w_norm,h_norm
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__10-59-48(1).JPG,animal,0.00873,0.2885,0.2819,0.04062,0.05763
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__10-59-48(1).JPG,person,0.645,0.6614,0.6812,0.2239,0.2493
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__10-59-48(1).JPG,animal,0.838,0.6614,0.6805,0.2239,0.25
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__10-59-49(2).JPG,animal,0.00723,0.5817,0.002777,0.3067,0.2541
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__10-59-49(2).JPG,animal,0.0184,0.613,0.03749,0.1348,0.2097
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__10-59-49(2).JPG,animal,0.0327,0.5833,0.1673,0.08749,0.0993
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__10-59-49(2).JPG,animal,0.0857,0.7187,0.04444,0.1583,0.2201
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__10-59-49(2).JPG,animal,0.132,0.3135,0.04375,0.102,0.1736
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__10-59-50(3).JPG,animal,0.0133,0.5953,0.1986,0.09427,0.09513
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__11-00-46(1).JPG,animal,0.0546,0.0,0.1375,0.9994,0.3291
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__11-00-47(2).JPG,animal,0.00689,0.1328,0.2319,0.02656,0.04166
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__11-00-47(2).JPG,animal,0.442,0.0,0.2784,1.0,0.359
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__11-00-48(3).JPG,animal,0.00535,0.0,0.3708,0.251,0.2541
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__11-00-48(3).JPG,animal,0.0753,0.001041,0.3638,0.55,0.2708
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__11-00-48(3).JPG,animal,0.336,0.0005208,0.2986,0.9994,0.3416
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__18-28-35(1).JPG,animal,0.968,0.3156,0.0,0.4901,0.5611
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__18-28-36(2).JPG,animal,0.965,0.3307,0.0,0.4572,0.5576
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__18-28-37(3).JPG,animal,0.969,0.3291,0.0,0.4677,0.5659
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-18-19(1).JPG,animal,0.419,0.9088,0.4666,0.09114,0.1687
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-18-20(2).JPG,animal,0.122,0.9088,0.452,0.09114,0.1798
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-18-21(3).JPG,animal,0.756,0.9171,0.4597,0.08281,0.1798
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-19-29(1).JPG,animal,0.00639,0.9682,0.5618,0.03177,0.1097
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-19-29(1).JPG,animal,0.077,0.9682,0.3229,0.03177,0.3402
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-19-30(2).JPG,animal,0.718,0.9203,0.2805,0.07968,0.3777
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-19-31(3).JPG,animal,0.0498,0.9229,0.5097,0.07708,0.1555
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-19-31(3).JPG,animal,0.521,0.9229,0.284,0.07708,0.3819
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-20-31(1).JPG,animal,0.951,0.7567,0.1152,0.2432,0.5659
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-20-32(2).JPG,animal,0.937,0.7124,0.109,0.2874,0.559
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-20-33(3).JPG,animal,0.936,0.7223,0.1284,0.2776,0.5569
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-21-42(1).JPG,animal,0.00836,0.0,0.05763,0.05937,0.259
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-21-42(1).JPG,animal,0.934,0.8223,0.1361,0.1776,0.5305
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-21-43(2).JPG,animal,0.913,0.8244,0.1305,0.1755,0.5354
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-21-44(3).JPG,animal,0.93,0.8286,0.134,0.1713,0.5347
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-22-39(1).JPG,animal,0.962,0.7817,0.1187,0.2182,0.5465
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-22-40(2).JPG,animal,0.957,0.7807,0.1166,0.2192,0.5451
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-22-41(3).JPG,animal,0.957,0.7807,0.1166,0.2192,0.5465
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-24-00(1).JPG,animal,0.946,0.8239,0.1319,0.176,0.5486
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-24-01(2).JPG,animal,0.933,0.8281,0.1312,0.1718,0.5312
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-24-01(3).JPG,animal,0.948,0.827,0.1347,0.1729,0.5194
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-26-14(1).JPG,animal,0.952,0.5953,0.1583,0.3817,0.4402
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-26-15(2).JPG,animal,0.958,0.5708,0.1548,0.4005,0.4437
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__19-26-16(3).JPG,animal,0.96,0.4843,0.1548,0.4864,0.443
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-00-49(1).JPG,animal,0.95,0.6354,0.0,0.3645,0.9291
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-00-50(2).JPG,animal,0.00615,0.5562,0.0,0.4432,0.927
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-00-50(2).JPG,animal,0.738,0.0,0.0,1.0,0.9312
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-00-51(3).JPG,animal,0.137,0.0,0.0,0.9989,0.9305
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-40-26(1).JPG,animal,0.629,0.7119,0.2194,0.2869,0.3208
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-40-27(2).JPG,animal,0.0343,0.7177,0.2187,0.2812,0.3333
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-40-28(3).JPG,animal,0.0652,0.7244,0.2187,0.2729,0.309
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-41-52(1).JPG,empty,,,,,
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-41-53(2).JPG,animal,0.027,0.7447,0.2215,0.2416,0.3326
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-41-54(3).JPG,animal,0.0108,0.7442,0.2222,0.2442,0.309
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-42-53(1).JPG,animal,0.954,0.7593,0.1368,0.2406,0.4958
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-42-54(2).JPG,animal,0.961,0.7713,0.1361,0.2286,0.4937
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-42-55(3).JPG,animal,0.0174,0.7109,0.2298,0.08958,0.2527
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-42-55(3).JPG,animal,0.95,0.7848,0.134,0.2151,0.4986
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-51-05(1).JPG,animal,0.44,0.0,0.0006944,0.2885,0.5812
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-51-05(1).JPG,animal,0.484,0.2432,0.5201,0.0427,0.06319
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-51-06(2).JPG,animal,0.508,0.0,0.0006944,0.3921,0.4812
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-51-07(3).JPG,animal,0.837,0.0005208,0.0,0.6135,0.4131
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-52-01(1).JPG,animal,0.955,0.2281,0.0,0.7718,0.9312
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-52-02(2).JPG,animal,0.00672,0.003645,0.0,0.9963,0.9118
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-52-02(2).JPG,animal,0.871,0.8541,0.0,0.1458,0.9284
L24-C-2023-07-22/L24-C-2023-07-22__2022-11-01__21-52-03(3).JPG,animal,0.961,0.7864,0.0,0.2135,0.8965
