filename,class_md,score,x_norm,y_norm,w_norm,h_norm
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-11__12-09-27(1).JPG,person,0.926,0.0,0.0007716,1.0,0.9475
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-11__12-09-27(2).JPG,person,0.918,0.0,0.0007716,1.0,0.9475
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-11__12-09-27(3).JPG,person,0.945,0.0,0.0007716,1.0,0.9475
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-11__12-10-44(1).JPG,person,0.0296,0.9153,0.005401,0.08463,0.9444
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-11__12-10-44(1).JPG,person,0.843,0.9144,0.6188,0.0855,0.331
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-11__12-10-44(2).JPG,person,0.0256,0.934,0.006172,0.06597,0.9459
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-11__12-10-44(2).JPG,person,0.807,0.9335,0.6558,0.0664,0.2939
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-11__12-10-44(3).JPG,person,0.377,0.9526,0.6381,0.0473,0.3117
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-11__12-10-44(3).JPG,person,0.393,0.9518,0.005401,0.04817,0.9452
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-15__22-38-08(1).JPG,animal,0.978,0.1649,0.3881,0.177,0.5609
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-15__22-38-08(2).JPG,animal,0.968,0.1731,0.405,0.1388,0.5439
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-15__22-38-08(3).JPG,animal,0.976,0.08897,0.3973,0.187,0.5516
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-17__06-23-16(1).JPG,animal,0.802,0.4118,0.2314,0.1184,0.4344
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-17__06-23-16(1).JPG,animal,0.982,0.4717,0.5231,0.5277,0.4259
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-17__06-23-16(2).JPG,animal,0.215,0.4309,0.2746,0.09722,0.1504
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-17__06-23-16(2).JPG,animal,0.977,0.07769,0.3487,0.7105,0.5987
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-17__06-23-17(3).JPG,animal,0.00512,0.5603,0.3703,0.05989,0.2199
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-17__06-23-17(3).JPG,animal,0.00629,0.4136,0.3109,0.2065,0.6365
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-17__06-23-17(3).JPG,animal,0.00749,0.7078,0.4452,0.08333,0.1396
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-17__06-23-17(3).JPG,animal,0.792,0.4149,0.3109,0.2052,0.2862
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-17__06-23-17(3).JPG,animal,0.936,0.000434,0.3611,0.6184,0.5856
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-17__06-24-19(1).JPG,animal,0.00657,0.05642,0.7391,0.1375,0.2098
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-17__06-24-19(1).JPG,animal,0.0628,0.2821,0.6358,0.2851,0.3125
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-17__06-24-19(1).JPG,animal,0.971,0.000868,0.4552,0.5646,0.493
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-17__06-24-19(2).JPG,animal,0.975,0.0,0.5771,0.3372,0.3711
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-17__06-24-19(3).JPG,animal,0.885,0.0,0.814,0.1167,0.135
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-19__06-58-54(1).JPG,animal,0.966,0.1818,0.4668,0.1575,0.25
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-19__06-58-54(2).JPG,animal,0.858,0.09635,0.4074,0.1432,0.2307
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-19__06-58-54(3).JPG,animal,0.944,0.05121,0.3981,0.1028,0.1959
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-24__17-07-54(1).JPG,animal,0.00879,0.799,0.3348,0.03993,0.03086
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-24__17-07-54(1).JPG,animal,0.946,0.0,0.118,0.2252,0.8287
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-24__17-07-54(2).JPG,animal,0.00547,0.799,0.3341,0.04296,0.03086
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-24__17-07-54(2).JPG,animal,0.755,0.0,0.4452,0.05685,0.4506
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-24__17-07-54(3).JPG,animal,0.00906,0.5564,0.1311,0.2478,0.6103
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-24__17-07-54(3).JPG,animal,0.776,0.1961,0.125,0.6818,0.8233
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-24__17-07-54(3).JPG,animal,0.81,0.0,0.3402,0.299,0.608
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-24__17-15-21(1).JPG,animal,0.00575,0.7986,0.3341,0.04253,0.03086
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-24__17-15-21(1).JPG,animal,0.977,0.03472,0.001543,0.2677,0.6566
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-24__17-15-22(2).JPG,animal,0.0071,0.09157,0.3356,0.03949,0.1458
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-24__17-15-22(2).JPG,animal,0.979,0.09288,0.0,0.2521,0.7091
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-24__17-15-22(3).JPG,animal,0.978,0.1323,0.0007716,0.2282,0.7577
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-25__06-44-34(1).JPG,animal,0.957,0.618,0.0007715,0.3819,0.6442
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-25__06-44-34(2).JPG,animal,0.983,0.4118,0.0007715,0.5881,0.9467
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-25__06-44-34(3).JPG,animal,0.978,0.1762,0.0,0.8237,0.9475
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-25__06-46-14(1).JPG,animal,0.971,0.4622,0.3526,0.3602,0.5964
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-25__06-46-14(2).JPG,animal,0.977,0.3658,0.2962,0.3519,0.6234
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-25__06-46-14(3).JPG,animal,0.0141,0.3585,0.2523,0.0842,0.05787
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-25__06-46-14(3).JPG,animal,0.0234,0.7139,0.4251,0.105,0.1628
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-25__06-46-14(3).JPG,animal,0.959,0.2803,0.2554,0.3342,0.5717
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-25__06-48-11(1).JPG,animal,0.836,0.5607,0.3919,0.2222,0.3595
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-25__06-48-11(2).JPG,animal,0.00573,0.7586,0.4783,0.05512,0.1458
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-25__06-48-11(2).JPG,animal,0.00798,0.6992,0.4606,0.115,0.1766
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-25__06-48-11(2).JPG,animal,0.00886,0.5911,0.4436,0.1028,0.2916
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-25__06-48-11(2).JPG,animal,0.712,0.4939,0.4444,0.1983,0.3479
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-25__06-48-11(3).JPG,animal,0.00979,0.598,0.4591,0.07812,0.287
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-25__06-48-11(3).JPG,animal,0.776,0.523,0.4629,0.154,0.3487
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-30__22-58-49(1).JPG,animal,0.973,0.02864,0.5362,0.1796,0.4128
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-30__22-58-49(2).JPG,animal,0.968,0.07942,0.5354,0.2187,0.4128
M26-A-2023-08-10/M26-A-2023-08-10__2022-11-30__22-58-50(3).JPG,animal,0.966,0.04036,0.5432,0.3059,0.4058
M26-A-2023-08-10/M26-A-2023-08-10__2022-12-01__00-26-07(1).JPG,animal,0.921,0.0,0.3966,0.1762,0.4976
M26-A-2023-08-10/M26-A-2023-08-10__2022-12-01__00-26-07(2).JPG,animal,0.965,0.0,0.385,0.2786,0.5617
M26-A-2023-08-10/M26-A-2023-08-10__2022-12-01__00-26-07(3).JPG,animal,0.985,0.0,0.4475,0.3914,0.5015
M26-A-2023-08-10/M26-A-2023-08-10__2022-12-01__07-39-12(1).JPG,animal,0.972,0.0,0.4537,0.184,0.3001
M26-A-2023-08-10/M26-A-2023-08-10__2022-12-01__07-39-12(2).JPG,animal,0.96,0.0,0.4822,0.1597,0.2708
M26-A-2023-08-10/M26-A-2023-08-10__2022-12-01__07-39-13(3).JPG,animal,0.859,0.0,0.4452,0.03168,0.2592
M26-A-2023-08-10/M26-A-2023-08-10__2022-12-01__07-42-18(1).JPG,animal,0.916,0.8285,0.8225,0.05078,0.1265
M26-A-2023-08-10/M26-A-2023-08-10__2022-12-01__07-42-18(1).JPG,animal,0.94,0.1445,0.4567,0.09895,0.1604
M26-A-2023-08-10/M26-A-2023-08-10__2022-12-01__07-42-18(2).JPG,animal,0.931,0.7243,0.8294,0.1306,0.1203
