filename,class_md,score,x_norm,y_norm,w_norm,h_norm
N08-B-2023-10-24/N08-B-2023-10-24__2022-11-02__11-54-25(1).JPG,animal,0.0572,0.2947,0.0,0.7046,0.9298
N08-B-2023-10-24/N08-B-2023-10-24__2022-11-02__11-54-25(1).JPG,person,0.189,0.0,0.0,0.9984,0.9305
N08-B-2023-10-24/N08-B-2023-10-24__2022-11-02__11-54-26(2).JPG,animal,0.0061,0.8333,0.3208,0.02864,0.1458
N08-B-2023-10-24/N08-B-2023-10-24__2022-11-02__11-54-26(2).JPG,person,0.125,0.0,0.5895,1.0,0.2715
N08-B-2023-10-24/N08-B-2023-10-24__2022-11-02__11-54-26(2).JPG,animal,0.129,0.0,0.5923,1.0,0.2729
N08-B-2023-10-24/N08-B-2023-10-24__2022-11-02__11-54-27(3).JPG,person,0.351,0.0,0.0,0.9979,0.2722
N08-B-2023-10-24/N08-B-2023-10-24__2022-11-02__11-54-27(3).JPG,person,0.456,0.0,0.0,0.9916,0.9326
N08-B-2023-10-24/N08-B-2023-10-24__2022-11-03__21-41-50(1).JPG,animal,0.872,0.4885,0.4888,0.1817,0.1451
N08-B-2023-10-24/N08-B-2023-10-24__2022-11-03__21-41-51(2).JPG,animal,0.805,0.4494,0.4611,0.1468,0.1534
N08-B-2023-10-24/N08-B-2023-10-24__2022-11-03__21-41-52(3).JPG,animal,0.81,0.4437,0.4756,0.1536,0.1388
N08-B-2023-10-24/N08-B-2023-10-24__2022-11-04__09-47-32(1).JPG,empty,,,,,
N08-B-2023-10-24/N08-B-2023-10-24__2022-11-04__09-47-33(2).JPG,empty,,,,,
N08-B-2023-10-24/N08-B-2023-10-24__2022-11-04__09-47-34(3).JPG,empty,,,,,
N08-B-2023-10-24/N08-B-2023-10-24__2022-11-04__11-51-43(1).JPG,animal,0.00924,0.4015,0.075,0.03593,0.02986
N08-B-2023-10-24/N08-B-2023-10-24__2022-11-04__11-51-44(2).JPG,empty,,,,,
N08-B-2023-10-24/N08-B-2023-10-24__2022-11-04__11-51-44(3).JPG,empty,,,,,
N08-B-2023-10-24/N08-B-2023-10-24__2022-11-04__11-57-54(1).JPG,empty,,,,,
N08-B-2023-10-24/N08-B-2023-10-24__2022-11-04__11-57-55(2).JPG,empty,,,,,
