filename,class_md,score,x_norm,y_norm,w_norm,h_norm
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-13-08(1).JPG,animal,0.409,0.9078,0.6652,0.09218,0.1555
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-13-08(1).JPG,person,0.913,0.1119,0.07083,0.2223,0.7687
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-13-09(2).JPG,animal,0.116,0.9078,0.6645,0.09218,0.1562
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-13-09(2).JPG,person,0.938,0.2229,0.1034,0.1822,0.7006
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-13-10(3).JPG,animal,0.0158,0.9072,0.6645,0.0927,0.1555
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-13-10(3).JPG,person,0.924,0.302,0.1048,0.1656,0.6222
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-17-36(1).JPG,person,0.00722,0.003645,0.0,0.9927,0.2013
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-17-36(1).JPG,vehicle,0.0142,0.0,0.0006944,1.0,0.7791
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-17-36(1).JPG,person,0.738,0.0,0.0,1.0,0.9312
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-17-37(2).JPG,person,0.595,0.0,0.0,1.0,0.9319
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-17-38(3).JPG,person,0.795,0.0,0.0,0.9994,0.9131
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-18-36(1).JPG,animal,0.0104,0.1937,0.2729,0.1906,0.1312
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-18-36(1).JPG,animal,0.0149,0.4364,0.2923,0.1151,0.1124
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-18-36(1).JPG,animal,0.015,0.8968,0.6618,0.1031,0.1645
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-18-37(2).JPG,animal,0.00758,0.8406,0.4173,0.1484,0.1048
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-18-37(2).JPG,animal,0.00803,0.4848,0.3138,0.06562,0.05694
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-18-37(2).JPG,animal,0.00972,0.1927,0.2729,0.1901,0.1333
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-18-37(2).JPG,animal,0.024,0.438,0.293,0.113,0.1124
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-18-38(3).JPG,animal,0.017,0.4385,0.2937,0.1135,0.1124
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-18-38(3).JPG,animal,0.0376,0.1942,0.2756,0.1927,0.1236
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-18-38(3).JPG,animal,0.0412,0.8953,0.6624,0.1046,0.1624
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-19-45(1).JPG,animal,0.00664,0.4364,0.2958,0.1166,0.1111
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-19-45(1).JPG,animal,0.0178,0.1958,0.2694,0.176,0.1326
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-19-46(2).JPG,animal,0.00513,0.1968,0.2763,0.1713,0.1291
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-19-47(3).JPG,animal,0.00758,0.1947,0.2736,0.1828,0.1493
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-20-50(1).JPG,animal,0.0051,0.4369,0.2854,0.1192,0.1201
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-20-50(1).JPG,animal,0.00691,0.1895,0.2798,0.1562,0.1222
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-20-50(1).JPG,animal,0.0386,0.1901,0.2784,0.2161,0.2027
P09-A-2023-10-30/P09-A-2023-10-30__2021-09-15__16-20-51(2).JPG,animal,0.00628,0.1192,0.2743,0.1348,0.1319
