filename,class_md,score,x_norm,y_norm,w_norm,h_norm
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-28__11-56-38(1).JPG,animal,0.00596,0.01041,0.0,0.9802,0.1666
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-28__11-56-38(1).JPG,person,0.00636,0.8671,0.5138,0.1328,0.4159
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-28__11-56-38(1).JPG,animal,0.0068,0.0,0.0,0.1286,0.2624
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-28__11-56-38(1).JPG,animal,0.0115,0.0,0.0,0.08124,0.1673
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-28__11-56-38(1).JPG,animal,0.0121,0.9526,0.1763,0.0177,0.0368
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-28__11-56-38(1).JPG,animal,0.0135,0.0,0.0,0.2276,0.1659
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-28__11-56-38(1).JPG,person,0.0139,0.8677,0.7958,0.1322,0.1354
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-28__11-56-38(1).JPG,animal,0.024,0.9546,0.1659,0.01822,0.03333
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-28__11-56-38(1).JPG,person,0.0699,0.8624,0.004166,0.1375,0.9333
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-28__11-56-38(1).JPG,person,0.26,0.8682,0.8736,0.1317,0.05833
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-28__11-56-39(2).JPG,person,0.00845,0.8937,0.6437,0.1062,0.2868
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-28__11-56-39(2).JPG,person,0.0604,0.8947,0.8631,0.1052,0.06805
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-28__11-56-39(2).JPG,animal,0.0772,0.0,0.3159,1.0,0.3111
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-28__11-56-40(3).JPG,person,0.00541,0.9052,0.6583,0.09479,0.2722
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-28__11-56-40(3).JPG,animal,0.0114,0.9541,0.1743,0.01614,0.02638
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-28__11-56-40(3).JPG,person,0.267,0.9052,0.8569,0.09479,0.0743
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-28__11-56-40(3).JPG,animal,0.398,0.9052,0.8569,0.09479,0.0743
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-29__04-07-11(1).JPG,animal,0.797,0.4692,0.8055,0.1432,0.1256
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-29__04-07-12(2).JPG,animal,0.952,0.238,0.6812,0.4791,0.25
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-29__04-07-13(3).JPG,animal,0.968,0.1046,0.652,0.4958,0.2791
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-29__18-45-03(1).JPG,animal,0.974,0.6385,0.0,0.3614,0.9298
Q21-A-2023-07-22/Q21-A-2023-07-22__2022-10-29__18-45-04(2).JPG,animal,0.906,0.1927,0.0,0.8052,0.8972
