filename,class_md,score,x_norm,y_norm,w_norm,h_norm
R19-A-2023-08-01/R19-A-2023-08-01__2022-11-16__12-26-22(1).JPG,person,0.00732,0.0,0.0,0.9353,0.9436
R19-A-2023-08-01/R19-A-2023-08-01__2022-11-16__12-26-22(1).JPG,person,0.771,0.0,0.001543,0.1927,0.9467
R19-A-2023-08-01/R19-A-2023-08-01__2022-11-16__12-26-22(2).JPG,person,0.00792,0.002604,0.0,0.9335,0.9444
R19-A-2023-08-01/R19-A-2023-08-01__2022-11-16__12-26-22(2).JPG,animal,0.00815,0.9023,0.2307,0.009982,0.02083
R19-A-2023-08-01/R19-A-2023-08-01__2022-11-16__12-26-22(2).JPG,person,0.844,0.0,0.0007716,0.1154,0.9475
R19-A-2023-08-01/R19-A-2023-08-01__2022-11-16__12-26-23(3).JPG,animal,0.00612,0.9023,0.2314,0.009982,0.02006
R19-A-2023-08-01/R19-A-2023-08-01__2022-11-24__11-16-06(1).JPG,animal,0.00579,0.5507,0.4483,0.05425,0.1033
R19-A-2023-08-01/R19-A-2023-08-01__2022-11-24__11-16-06(1).JPG,animal,0.0728,0.5507,0.4475,0.04166,0.05478
R19-A-2023-08-01/R19-A-2023-08-01__2022-11-24__11-16-06(1).JPG,animal,0.927,0.4383,0.4475,0.1206,0.1751
R19-A-2023-08-01/R19-A-2023-08-01__2022-11-24__11-16-06(2).JPG,animal,0.00595,0.8958,0.1574,0.01085,0.02932
R19-A-2023-08-01/R19-A-2023-08-01__2022-11-24__11-16-06(2).JPG,animal,0.0126,0.7612,0.6319,0.03385,0.08719
R19-A-2023-08-01/R19-A-2023-08-01__2022-11-24__11-16-06(2).JPG,animal,0.0194,0.5381,0.4475,0.05729,0.06095
R19-A-2023-08-01/R19-A-2023-08-01__2022-11-24__11-16-06(2).JPG,animal,0.0201,0.661,0.4729,0.02517,0.05632
R19-A-2023-08-01/R19-A-2023-08-01__2022-11-24__11-16-06(2).JPG,animal,0.728,0.5551,0.4583,0.1263,0.1087
R19-A-2023-08-01/R19-A-2023-08-01__2022-11-24__11-16-06(3).JPG,animal,0.00648,0.8962,0.1574,0.01041,0.02932
R19-A-2023-08-01/R19-A-2023-08-01__2022-11-24__11-16-06(3).JPG,animal,0.0197,0.7031,0.4537,0.03428,0.04861
R19-A-2023-08-01/R19-A-2023-08-01__2022-11-24__11-16-06(3).JPG,animal,0.352,0.7026,0.4537,0.0677,0.06095
R19-A-2023-08-01/R19-A-2023-08-01__2022-11-24__11-16-06(3).JPG,animal,0.826,0.664,0.4591,0.1054,0.1597
