I10-C-2023-07-26__2020-07-03__09-40-43(1).JPG	0	
I10-C-2023-07-26__2020-07-03__09-40-44(2).JPG	0	
I10-C-2023-07-26__2020-07-03__09-40-45(3).JPG	0	
I10-C-2023-07-26__2020-07-06__12-45-00(1).JPG	1: baboon	0	
I10-C-2023-07-26__2020-07-06__12-45-01(2).JPG	1: baboon	0	
I10-C-2023-07-26__2020-07-06__12-45-02(3).JPG	1: baboon	0	
I10-C-2023-07-26__2020-07-08__05-37-21(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-08__05-37-22(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-08__05-37-23(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-09__18-21-44(1).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-09__18-21-45(2).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-09__18-21-46(3).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-09__18-22-41(1).JPG	3: bushpig	0	
I10-C-2023-07-26__2020-07-09__18-22-42(2).JPG	3: bushpig	0	
I10-C-2023-07-26__2020-07-09__18-22-43(3).JPG	3: bushpig	0	
I10-C-2023-07-26__2020-07-09__18-23-38(1).JPG	2: bushpig	0	
I10-C-2023-07-26__2020-07-09__18-23-39(2).JPG	3: bushpig	0	
I10-C-2023-07-26__2020-07-09__18-23-40(3).JPG	3: bushpig	0	
I10-C-2023-07-26__2020-07-09__18-24-35(1).JPG	2: bushpig	0	
I10-C-2023-07-26__2020-07-09__18-24-36(2).JPG	2: bushpig	0	
I10-C-2023-07-26__2020-07-09__18-24-37(3).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-09__18-38-04(1).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-09__18-38-04(2).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-09__18-38-05(3).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-09__18-43-25(1).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-09__18-43-26(2).JPG	2: bushpig	0	
I10-C-2023-07-26__2020-07-09__18-43-27(3).JPG	2: bushpig	0	
I10-C-2023-07-26__2020-07-09__18-44-23(1).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-09__18-44-24(2).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-09__18-44-25(3).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-07-11__19-53-00(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-11__19-53-01(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-11__19-53-02(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-11__19-56-07(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-11__19-56-08(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-11__19-56-09(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-11__19-58-48(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-11__19-58-49(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-11__19-58-50(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-14__11-09-21(1).JPG	0	
I10-C-2023-07-26__2020-07-14__11-09-22(2).JPG	0	
I10-C-2023-07-26__2020-07-14__11-09-23(3).JPG	0	
I10-C-2023-07-26__2020-07-15__05-19-56(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-19-57(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-19-58(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-22-36(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-22-37(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-22-38(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-23-33(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-23-34(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-23-35(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-29-37(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-29-38(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-29-39(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-38-08(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-38-09(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-38-10(3).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-44-19(1).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-44-20(2).JPG	1: bushbuck	0	
I10-C-2023-07-26__2020-07-15__05-44-21(3).JPG	1: bushbuck	0	
